M,N,K,cuBLAS,Triton
1024.000000,12288.000000,49152.000000,55.580535,115.849195
2048.000000,12288.000000,49152.000000,45.762111,117.326031
4096.000000,12288.000000,49152.000000,43.742482,118.081562
8192.000000,12288.000000,49152.000000,44.290595,120.482695
1024.000000,49152.000000,12288.000000,104.246774,115.395452
2048.000000,49152.000000,12288.000000,117.505792,94.727065
4096.000000,49152.000000,12288.000000,65.262926,74.227486
8192.000000,49152.000000,12288.000000,49.930899,69.055359
